Data,PIB - IGP-DI- 2021.11=1-0 - R$ - Banco Central do Brasil- Boletim- Seção Atividade Econômica (Bacen / Boletim / Ativ. Ec.) - BM12_PIB12,
2002.01,566102.489038888,0.19850610477051,
2002.02,560750.942612736,0.198799665820603,
2002.03,593393.892987466,0.199605525772578,
2002.04,597726.443889506,0.201406347720922,
2002.05,604857.439233694,0.204267141289576,
2002.06,593006.685661875,0.208133235230294,
2002.07,596336.113298178,0.21272667740746,
2002.08,586096.59330789,0.218052965090114,
2002.09,554879.267717341,0.225522572711702,
2002.10,562068.309295979,0.236849147689445,
2002.11,550628.896057545,0.246929648940528,
2002.12,514899.607717828,0.252944842155277,
2003.01,493493.424795205,0.257708600783845,
2003.02,501624.213357744,0.261896448579742,
